epsilon,q,gamma,rho_mean
0.01020408163265306,0.5816326530612245,1.0,0.466175
0.01020408163265306,0.5918367346938775,0.0,0.10667500000000002
0.01020408163265306,0.5918367346938775,0.25,0.25928
0.01020408163265306,0.5918367346938775,0.5,0.277125
0.01020408163265306,0.5918367346938775,0.75,0.301645
0.01020408163265306,0.5918367346938775,1.0,0.46968000000000004
0.01020408163265306,0.6020408163265306,0.0,0.10691000000000002
0.01020408163265306,0.6020408163265306,0.25,0.26027
0.01020408163265306,0.6020408163265306,0.5,0.2768
0.01020408163265306,0.6020408163265306,0.75,0.304105
0.01020408163265306,0.6020408163265306,1.0,0.4716
0.01020408163265306,0.6122448979591837,0.0,0.10666000000000002
0.01020408163265306,0.6122448979591837,0.25,0.26716999999999996
0.01020408163265306,0.6122448979591837,0.5,0.277605
0.01020408163265306,0.6122448979591837,0.75,0.31343000000000004
0.01020408163265306,0.6122448979591837,1.0,0.429255
0.01020408163265306,0.6224489795918368,0.0,0.106395
0.01020408163265306,0.6224489795918368,0.25,0.26745500000000005
0.01020408163265306,0.6224489795918368,0.5,0.27671
0.01020408163265306,0.6224489795918368,0.75,0.286715
0.01020408163265306,0.6224489795918368,1.0,0.428645
0.01020408163265306,0.6326530612244898,0.0,0.10668500000000003
0.01020408163265306,0.6326530612244898,0.25,0.26873500000000006
0.01020408163265306,0.6326530612244898,0.5,0.27176000000000006
0.01020408163265306,0.6326530612244898,0.75,0.30595500000000003
0.01020408163265306,0.6326530612244898,1.0,0.34714
0.01020408163265306,0.6428571428571428,0.0,0.10672000000000002
0.01020408163265306,0.6428571428571428,0.25,0.26060500000000003
0.01020408163265306,0.6428571428571428,0.5,0.27137
0.01020408163265306,0.6428571428571428,0.75,0.31196999999999997
0.01020408163265306,0.6428571428571428,1.0,0.36616499999999996
0.01020408163265306,0.6530612244897959,0.0,0.10657500000000002
0.01020408163265306,0.6530612244897959,0.25,0.24654000000000006
0.01020408163265306,0.6530612244897959,0.5,0.278215
0.01020408163265306,0.6530612244897959,0.75,0.320365
0.01020408163265306,0.6530612244897959,1.0,0.364195
0.01020408163265306,0.6632653061224489,0.0,0.10672000000000002
0.01020408163265306,0.6632653061224489,0.25,0.247315
0.01020408163265306,0.6632653061224489,0.5,0.27175
0.01020408163265306,0.6632653061224489,0.75,0.32237
0.01020408163265306,0.6632653061224489,1.0,0.37061000000000005
0.01020408163265306,0.673469387755102,0.0,0.10659500000000002
0.01020408163265306,0.673469387755102,0.25,0.24754000000000007
0.01020408163265306,0.673469387755102,0.5,0.259225
0.01020408163265306,0.673469387755102,0.75,0.304975
0.01020408163265306,0.673469387755102,1.0,0.361555
0.01020408163265306,0.6836734693877551,0.0,0.10677000000000003
0.01020408163265306,0.6836734693877551,0.25,0.247925
0.01020408163265306,0.6836734693877551,0.5,0.259095
0.01020408163265306,0.6836734693877551,0.75,0.31958
0.01020408163265306,0.6836734693877551,1.0,0.378325
0.01020408163265306,0.6938775510204082,0.0,0.10669500000000003
0.01020408163265306,0.6938775510204082,0.25,0.24743500000000004
0.01020408163265306,0.6938775510204082,0.5,0.25884
0.01020408163265306,0.6938775510204082,0.75,0.313395
0.01020408163265306,0.6938775510204082,1.0,0.39526
0.01020408163265306,0.7040816326530612,0.0,0.10658000000000002
0.01020408163265306,0.7040816326530612,0.25,0.24849000000000004
0.01020408163265306,0.7040816326530612,0.5,0.26318
0.01020408163265306,0.7040816326530612,0.75,0.33050499999999994
0.01020408163265306,0.7040816326530612,1.0,0.42331
